pretax_income,tax,after_tax_income
305000.0,99309.0,205691.0
306000.0,99693.0,206307.0
307000.0,100077.0,206923.0
308000.0,100461.0,207539.0
309000.0,100845.0,208155.0
310000.0,101229.0,208771.0
311000.0,101613.0,209387.0
312000.0,101997.0,210003.0
313000.0,102382.0,210618.0
314000.0,102766.0,211234.0
315000.0,103150.0,211850.0
316000.0,103534.0,212466.0
317000.0,103918.0,213082.0
318000.0,104302.0,213698.0
319000.0,104686.0,214314.0
320000.0,105070.0,214930.0
321000.0,105454.0,215546.0
322000.0,105838.0,216162.0
323000.0,106222.0,216778.0
324000.0,106606.0,217394.0
325000.0,106990.0,218010.0
326000.0,107374.0,218626.0
327000.0,107758.0,219242.0
328000.0,108142.0,219858.0
329000.0,108526.0,220474.0
330000.0,108910.0,221090.0
331000.0,109294.0,221706.0
332000.0,109678.0,222322.0
333000.0,110062.0,222938.0
334000.0,110446.0,223554.0
335000.0,110830.0,224170.0
336000.0,111214.0,224786.0
337000.0,111598.0,225402.0
338000.0,111982.0,226018.0
339000.0,112366.0,226634.0
340000.0,112750.0,227250.0
341000.0,113134.0,227866.0
342000.0,113518.0,228482.0
343000.0,113902.0,229098.0
344000.0,114286.0,229714.0
345000.0,114670.0,230330.0
346000.0,115054.0,230946.0
347000.0,115438.0,231562.0
348000.0,115822.0,232178.0
349000.0,116206.0,232794.0
350000.0,116591.0,233409.0
351000.0,116975.0,234025.0
352000.0,117359.0,234641.0
353000.0,117743.0,235257.0
354000.0,118127.0,235873.0
355000.0,118511.0,236489.0
356000.0,118895.0,237105.0
357000.0,119279.0,237721.0
358000.0,119663.0,238337.0
359000.0,120047.0,238953.0
360000.0,120431.0,239569.0
361000.0,120815.0,240185.0
362000.0,121199.0,240801.0
363000.0,121583.0,241417.0
364000.0,121967.0,242033.0
365000.0,122351.0,242649.0
366000.0,122735.0,243265.0
367000.0,123119.0,243881.0
368000.0,123503.0,244497.0
369000.0,123887.0,245113.0
370000.0,124271.0,245729.0
371000.0,124655.0,246345.0
372000.0,125039.0,246961.0
373000.0,125423.0,247577.0
374000.0,125807.0,248193.0
375000.0,126191.0,248809.0
376000.0,126575.0,249425.0
377000.0,126959.0,250041.0
378000.0,127343.0,250657.0
